timestamp_ms,cpu_percent,mem_usage_mb
1779963518917,0.00,14.25
1779963520976,32.83,19.85
1779963523032,36.61,28.83
1779963525108,26.83,35.36
1779963527179,19.32,37.73
1779963529242,18.26,38.17
1779963531298,21.29,39.29
1779963533357,16.47,39.2
1779963535420,19.48,39.39
1779963537488,16.68,39.06
1779963539550,18.95,39.31
1779963541686,51.03,39.29
1779963543816,31.18,39.14
1779963545878,16.39,39.23
1779963547934,18.57,39.28
1779963550000,15.31,39.26
1779963552060,21.08,38.93
1779963554119,16.14,38.95
1779963556184,14.19,38.55
1779963558249,18.76,38.8
1779963560310,20.40,38.67
1779963562377,15.44,38.62
1779963564435,17.01,38.42
1779963566498,15.73,38.35
1779963568564,14.74,38.1
1779963570622,18.91,38.15
1779963572684,9.80,38.12
1779963574739,16.88,38.07
1779963576799,22.20,38.24
1779963578859,18.53,38.19
1779963580919,1.89,37.87
1779963582978,0.00,37.79
1779963585041,0.00,37.79
1779963587097,0.00,37.79
