timestamp_ms,cpu_percent,mem_usage_mb
1779958785004,0.00,20.2
1779958787083,24.36,27.99
1779958789151,23.00,34.63
1779958791211,25.07,38.77
1779958793270,20.12,39.68
1779958795340,20.88,39.97
1779958797431,18.89,40.97
1779958799494,16.27,40.96
1779958802026,55.09,41.71
1779958804435,60.17,41.71
1779958806752,88.67,41.86
1779958809133,39.39,42.11
1779958811203,26.96,42.3
1779958813265,16.29,42.21
1779958815323,13.14,42.38
1779958817381,8.54,42.45
1779958819440,14.53,42.75
1779958821505,11.18,42.64
1779958823565,11.08,42.63
1779958825622,11.06,43.16
1779958827679,12.57,43.31
1779958829737,12.97,42.77
1779958831796,8.15,42.79
1779958833853,5.76,42.68
1779958835915,12.35,43.05
1779958837972,14.57,43.19
1779958840035,10.50,43.28
1779958842113,12.32,43.09
1779958844169,11.49,43.2
1779958846234,7.06,42.82
1779958848304,0.00,42.77
1779958850362,0.00,42.77
1779958852421,3.53,20.12
