timestamp_ms,cpu_percent,mem_usage_mb
1779957823639,0.00,19.57
1779957825697,31.60,28.17
1779957827765,22.58,36.27
1779957829823,20.45,40.82
1779957831890,16.35,39.28
1779957833957,15.36,40.75
1779957836014,17.13,40.43
1779957838072,13.40,40.66
1779957840184,14.72,41.52
1779957842440,36.36,41.52
1779957844594,29.09,43.07
1779957846681,11.41,42.24
1779957848747,13.18,42.23
1779957850811,13.77,42.7
1779957852867,11.72,42.66
1779957854924,12.87,42.77
1779957856982,15.39,42.58
1779957859049,11.23,42.5
1779957861107,14.79,43
1779957863166,14.84,42.98
1779957865224,14.77,42.86
1779957867298,12.04,42.69
1779957869373,12.74,42.94
1779957871439,14.72,43.27
1779957873496,13.82,43.5
1779957875553,13.29,44.46
1779957877611,11.75,43.36
1779957879682,13.70,43.36
1779957881762,11.63,43.36
1779957883818,14.21,43.6
1779957885875,1.23,43.35
1779957887932,0.01,43.35
1779957889990,0.00,43.35
1779957892060,0.00,43.35
