image,trial,reqs_per_sec,p95_latency_ms,avg_latency_ms,checks_passed
node-single,1,376.73,194.75,132.12,22634
node-single,2,387.08,187.78,128.38,23305
node-single,3,362.86,199.96,137.03,21846
node-single,4,314.08,216.87,158.38,18895
node-single,5,374.44,195.65,132.95,22504
node-single,6,377.58,196.17,131.85,22672
node-single,7,382.74,188.76,130.14,23004
node-single,8,372.19,198.65,133.74,22406
node-single,9,372.88,195.77,133.33,22415
node-single,10,387.72,185.92,128.43,23288
node-single,11,382.43,187.56,130.04,23025
node-single,12,375.29,197.66,132.45,22593
node-single,13,379.64,194.45,131.05,22815
node-single,14,322.36,237.68,154.26,19383
node-single,15,376.18,195.89,132.2,22636
node-single,16,385.48,188.92,129.13,23173
node-single,17,379.03,197.9,131.36,22785
node-single,18,379.2,199.96,131.24,22830
node-single,19,379.36,199.55,131.08,22828
node-single,20,384.95,189.98,129.39,23105
node-single,21,387.54,200.26,128.36,23297
node-single,22,381.64,189.37,130.37,22944
node-single,23,384.95,187.31,129.29,23123
node-single,24,383.77,186.42,129.45,23097
node-single,25,390.53,180.69,127.51,23437
node-single,26,378.61,194.6,131.46,22746
node-single,27,386.3,188.12,128.85,23224
node-single,28,371.8,198.62,133.7,22345
node-single,29,369.79,197.29,134.42,22238
node-single,30,372.46,200.47,133.44,22409
node-alpine-multi,1,381.43,193.09,130.48,22903
node-alpine-multi,2,377.84,193.31,131.72,22707
node-alpine-multi,3,388.93,183.78,127.81,23393
node-alpine-multi,4,379.07,188.69,130.96,22789
node-alpine-multi,5,347.57,231.3,143.08,20913
node-alpine-multi,6,352.55,216.89,141.02,21158
node-alpine-multi,7,367.48,206.1,135.12,22206
node-alpine-multi,8,391.82,190.92,126.97,23548
node-alpine-multi,9,383.79,191.8,129.33,23147
node-alpine-multi,10,388.29,187.29,128.23,23356
node-alpine-multi,11,379.79,190.37,131.14,22815
node-alpine-multi,12,378.54,198.06,130.2,22761
node-alpine-multi,13,386.65,193.22,128.59,23252
node-alpine-multi,14,388.21,183.34,128.2,23338
node-alpine-multi,15,386.34,183.64,128.86,23232
node-alpine-multi,16,384.63,193.3,129.37,23135
node-alpine-multi,17,383.8,187.73,129.78,23094
node-alpine-multi,18,371.33,195.73,133.68,22446
node-alpine-multi,19,381.44,192.01,130.52,22914
node-alpine-multi,20,387.35,191.03,128.52,23259
node-alpine-multi,21,376.6,192.53,132.01,22662
node-alpine-multi,22,387.02,190.51,128.68,23262
node-alpine-multi,23,386.76,187.75,128.72,23250
node-alpine-multi,24,389.23,193.57,127.8,23397
node-alpine-multi,25,382.77,195.1,129.74,23022
node-alpine-multi,26,386.68,184.73,128.73,23234
node-alpine-multi,27,386.38,192.36,128.87,23223
node-alpine-multi,28,382.98,189.2,129.88,23030
node-alpine-multi,29,388.15,189.15,128.26,23323
node-alpine-multi,30,386.33,190.62,128.89,23195
alpine-multi,1,355.6,210.07,139.14,21519
alpine-multi,2,371.72,194.14,133.69,22337
alpine-multi,3,382.32,190.13,130.1,22974
alpine-multi,4,377.96,193.34,131.61,22721
alpine-multi,5,384.41,193.52,129.52,23083
alpine-multi,6,380.79,197.38,130.78,22862
alpine-multi,7,386.79,193.13,128.58,23254
alpine-multi,8,383.19,193.8,129.88,23046
alpine-multi,9,356.84,205.18,139.39,21460
alpine-multi,10,378.48,196.48,131.54,22726
alpine-multi,11,373.34,199.17,133.29,22459
alpine-multi,12,388.97,188.95,128.01,23378
alpine-multi,13,383.08,189.22,129.91,23031
alpine-multi,14,172.5,717.29,288.75,10419
alpine-multi,15,163.19,804.4,305.15,9813
alpine-multi,16,380.85,196.9,129.95,23010
alpine-multi,17,386.41,192.29,128.77,23237
alpine-multi,18,388.76,184.76,128.1,23341
alpine-multi,19,382.41,196.22,130.15,22988
alpine-multi,20,382.3,190.1,130.18,22968
alpine-multi,21,366.66,198.19,135.69,22040
alpine-multi,22,388.24,184.14,128.19,23327
alpine-multi,23,388.18,188.75,128.22,23336
alpine-multi,24,371.94,196.83,133.86,22333
alpine-multi,25,388.38,188.86,127.96,23336
alpine-multi,26,381.28,189.34,130.47,22925
alpine-multi,27,382.22,191.23,130.21,23005
alpine-multi,28,378.78,195.39,131.4,22759
alpine-multi,29,381.87,186.54,130.35,22943
alpine-multi,30,381.33,197.91,130.57,22922
