image,trial,pull_time_ms
node-single,1,20468
node-single,2,22904
node-single,3,20718
node-single,4,20419
node-single,5,21669
node-single,6,20785
node-single,7,21876
node-single,8,22218
node-single,9,20484
node-single,10,20573
node-single,11,20101
node-single,12,21863
node-single,13,19923
node-single,14,20033
node-single,15,20125
node-single,16,20039
node-single,17,21854
node-single,18,20412
node-single,19,20972
node-single,20,20011
node-single,21,20059
node-single,22,21574
node-single,23,20534
node-single,24,21155
node-single,25,20219
node-single,26,20168
node-single,27,27174
node-single,28,23498
node-single,29,22687
node-single,30,21388
node-alpine-multi,1,5810
node-alpine-multi,2,5576
node-alpine-multi,3,5193
node-alpine-multi,4,5264
node-alpine-multi,5,5235
node-alpine-multi,6,5404
node-alpine-multi,7,5422
node-alpine-multi,8,5366
node-alpine-multi,9,5286
node-alpine-multi,10,5555
node-alpine-multi,11,5223
node-alpine-multi,12,5255
node-alpine-multi,13,5122
node-alpine-multi,14,5531
node-alpine-multi,15,5595
node-alpine-multi,16,5502
node-alpine-multi,17,5922
node-alpine-multi,18,5579
node-alpine-multi,19,5514
node-alpine-multi,20,6046
node-alpine-multi,21,5590
node-alpine-multi,22,5830
node-alpine-multi,23,7773
node-alpine-multi,24,5403
node-alpine-multi,25,5354
node-alpine-multi,26,5349
node-alpine-multi,27,5261
node-alpine-multi,28,5097
node-alpine-multi,29,5040
node-alpine-multi,30,4908
alpine-multi,1,4870
alpine-multi,2,4853
alpine-multi,3,4869
alpine-multi,4,4830
alpine-multi,5,4904
alpine-multi,6,4851
alpine-multi,7,4832
alpine-multi,8,4863
alpine-multi,9,4873
alpine-multi,10,4784
alpine-multi,11,5301
alpine-multi,12,4922
alpine-multi,13,4861
alpine-multi,14,4913
alpine-multi,15,4965
alpine-multi,16,4796
alpine-multi,17,5082
alpine-multi,18,4879
alpine-multi,19,4993
alpine-multi,20,4868
alpine-multi,21,4940
alpine-multi,22,4917
alpine-multi,23,4926
alpine-multi,24,4939
alpine-multi,25,4781
alpine-multi,26,5339
alpine-multi,27,4941
alpine-multi,28,4873
alpine-multi,29,4913
alpine-multi,30,4952
