image,trial,startup_time_ms
node-single,1,648
node-single,2,560
node-single,3,573
node-single,4,578
node-single,5,558
node-single,6,560
node-single,7,606
node-single,8,569
node-single,9,591
node-single,10,584
node-single,11,567
node-single,12,1126
node-single,13,592
node-single,14,587
node-single,15,563
node-single,16,696
node-single,17,697
node-single,18,554
node-single,19,556
node-single,20,549
node-single,21,562
node-single,22,577
node-single,23,594
node-single,24,600
node-single,25,585
node-single,26,549
node-single,27,557
node-single,28,545
node-single,29,528
node-single,30,528
node-alpine-multi,1,6904
node-alpine-multi,2,542
node-alpine-multi,3,560
node-alpine-multi,4,544
node-alpine-multi,5,573
node-alpine-multi,6,540
node-alpine-multi,7,581
node-alpine-multi,8,734
node-alpine-multi,9,531
node-alpine-multi,10,564
node-alpine-multi,11,609
node-alpine-multi,12,580
node-alpine-multi,13,542
node-alpine-multi,14,571
node-alpine-multi,15,566
node-alpine-multi,16,565
node-alpine-multi,17,532
node-alpine-multi,18,547
node-alpine-multi,19,530
node-alpine-multi,20,551
node-alpine-multi,21,544
node-alpine-multi,22,546
node-alpine-multi,23,568
node-alpine-multi,24,559
node-alpine-multi,25,565
node-alpine-multi,26,574
node-alpine-multi,27,1215
node-alpine-multi,28,561
node-alpine-multi,29,557
node-alpine-multi,30,541
alpine-multi,1,6135
alpine-multi,2,554
alpine-multi,3,579
alpine-multi,4,555
alpine-multi,5,554
alpine-multi,6,558
alpine-multi,7,521
alpine-multi,8,1180
alpine-multi,9,618
alpine-multi,10,583
alpine-multi,11,552
alpine-multi,12,585
alpine-multi,13,551
alpine-multi,14,558
alpine-multi,15,558
alpine-multi,16,563
alpine-multi,17,564
alpine-multi,18,528
alpine-multi,19,555
alpine-multi,20,606
alpine-multi,21,568
alpine-multi,22,551
alpine-multi,23,568
alpine-multi,24,557
alpine-multi,25,585
alpine-multi,26,568
alpine-multi,27,964
alpine-multi,28,563
alpine-multi,29,557
alpine-multi,30,562
